timestamp,employee_id,system_accessed,action,bytes_transferred,name,department,role,shift_start_hour,shift_end_hour,risk_tier,hour_of_day,flagged_threat
2024-01-01 03:29:00,EMP-0002,Customer_CRM,View,104136,Julie Alvarado,IT,System Admin,9,17,Elevated,3,None
2024-01-01 06:07:00,EMP-0102,Inventory_DB,View,62562,Carmen Jones,Ground Operations,Driver,6,18,Standard,6,None
2024-01-01 06:19:00,EMP-0016,Routing_Portal,Query,68159,Chris Cohen,Ground Operations,Hub Manager,6,18,Standard,6,None
2024-01-01 06:31:00,EMP-0046,Routing_Portal,Query,60076,Jesse Phillips,Ground Operations,Dispatcher,6,18,Standard,6,None
2024-01-01 07:03:00,EMP-0130,Routing_Portal,Query,63022,Kyle Sullivan,Ground Operations,Driver,6,18,Standard,7,None
2024-01-01 07:16:00,EMP-0136,Inventory_DB,Query,43613,Melissa Webb,Ground Operations,Dispatcher,6,18,Standard,7,None
2024-01-01 07:34:00,EMP-0061,Inventory_DB,View,33038,Mary Mccullough,Ground Operations,Dispatcher,6,18,Standard,7,None
2024-01-01 08:02:00,EMP-0019,Routing_Portal,Download,18029826,Sergio Vazquez,Warehouse,Forklift Operator,8,20,Standard,8,None
2024-01-01 08:13:00,EMP-0097,Inventory_DB,View,9636,Lisa Taylor,Warehouse,Inventory Specialist,8,20,Standard,8,None
2024-01-01 08:28:00,EMP-0138,HR_Portal,View,64802,Peter Reid II,Warehouse,Forklift Operator,8,20,Standard,8,None
2024-01-01 08:45:00,EMP-0027,Inventory_DB,Query,60576,Stacey Morgan,Ground Operations,Driver,6,18,Standard,8,None
2024-01-01 09:06:00,EMP-0146,Inventory_DB,Query,38219,Dominique Logan,Warehouse,Forklift Operator,8,20,Standard,9,None
2024-01-01 09:16:00,EMP-0058,Inventory_DB,View,53773,David Robinson,Warehouse,Forklift Operator,8,20,Standard,9,None
2024-01-01 09:31:00,EMP-0051,Customer_CRM,Query,34822,Amy Jenkins,IT,System Admin,9,17,Elevated,9,None
2024-01-01 09:34:00,EMP-0080,HR_Portal,View,31335,Joseph Johnson,IT,System Admin,9,17,Elevated,9,None
2024-01-01 09:41:00,EMP-0005,Inventory_DB,View,69101,Corey Davis,Warehouse,Forklift Operator,8,20,Standard,9,None
2024-01-01 09:43:00,EMP-0074,Financial_Ledger,View,53815,Nicole Walls,Finance,Payroll Manager,9,17,Elevated,9,None
